balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,," 4 , 4 ",2011,"Die klassisch - elegante, perfekt geschnittene Vierzimmerwohnung befindet sich in einer sehr gepflegten Wohnanlage mit parkartiger, weitläufig grüner Umgebung in der für seine solide Bauqualität und geplante Großflächigkeit bekannten und begehrten ""Stumpfwiese"".
Die ausgesprochen helle und lichtdurchflutete Wohnung im 2. OG vereint Modernität und zeitlosen Komfort zu einer perfekten Symbiose.

Im Frühling, Sommer und Herbst können Sie den Tag sowie die Abendstunden auf dem nach Westen gerichteten Balkon ausklingen lassen - ein großer, quadratischer Balkon für Sonnenverwöhnte steht hierzu zur Verfügung. 

Sie betreten die lichtdurchflutete Wohnung über einen großzügigen Flur und gelangen linkerhand in das Wohnzimmer mit freiem Blick in grüne Baumkronen und das Grün des großen parkartigen Platzes...
Die angrenzend separate Küche ist mit einer umlaufenden, beigen Einbauküche mit Siemens-Einbaugeräten bestückt.

Gleich neben dem Eingangsbereich linkerhand befindet sich ein Duschbad sowie gegenüberliegend das Masterbad mit Wanne in zeitlosem Design (weiße Ausführung). Eines der drei Schlafzimmer wird durch einen kleinen Balkon gen Osten bereichert.

Ein Abstellraum in der Wohnung sowie das ca. 10m² große Kellerabteil und der Einzelstellplatz in der Tiefgarage runden das Gesamtangebot dieser Vierzimmerwohnung in der Stumpfwiese ab.
Der Kaufpreis setzt sich wie folgt zusammen: Kaufpreis Wohnungen 780.000 Euro + Tiefgaragenstellplatz 22.000 Euro = Gesamtkaufpreis 802.000 Euro.", liegt vor , 2 ,, 100 MBit/s ," 101,22 m² ",, Bedarfsausweis , Etagenwohnung , Nach Vereinbarung , 
,," 2 , 2 ",1961,"Bei dieser hellen 2-Zimmer-Wohnung handelt es sich um einen Erstbezug nach Sanierung.

Beim Betreten der Wohnung liegt geradeaus die Küche und auf der linken Seite das großzügige Wohnzimmer mit der nach Süden ausgerichteten Loggia.

Rechts liegt das weiß gekachelte Bad mit Wanne und gegenüber das ebenfalls nach Süden ausgerichtete Schlafzimmer.

Zu der Wohnung gehören ein Kellerabteil und ein Aussenstellplatz.

Die S-Bahnhaltestelle der Linie S1 ist fußläufig in weniger als 10min. erreichbar.", liegt vor , 1 Außenstellplatz ,, 100 MBit/s ," 50,38 m² ",, Verbrauchsausweis , Etagenwohnung , ab Januar 2020 , 
,," ab sofort , ab sofort ",1973,"
Die Wohnung befindet sich im 2. Obergeschoss eines 1973 erbauten Mehrfamilienhauses in einer wunderschönen Parkanlage mit unverbautem, freien Blick ins Grüne. 

Über den Aufzug gelangen Sie bequem zu dieser praktisch geschnittenen, sonnigen Wohnung. Die großzügige Diele bietet ausreichend Platz für eine Garderobe und eine Kommode. Nebenan befindet sich eine komplett ausgestattete EBK, von hier aus haben Sie Zugang in das helle Wohnzimmer. Die Süd-Ausrichtung der Wohnung mit einer großen, teils bodentiefen Fensterfront zum Balkon hin, sorgt für eine helle und angenehme Atmosphäre. Der ca. 50 qm große Wohnbereich ist momentan offen gehalten und nur durch eine Trennwand mit breiten Durchlässen an den Seiten strukturiert. Verschiedene Optionen zur Gestaltung des Raumes sind hier vorstellbar. 

Die fussläufige Nähe zum Ludwig-Bölkow-Campus, auf welchem gerade für über 4000 Studenten eine neue Fakultät entsteht, macht die Wohnung als Kapitalanlage so attraktiv. Die Technische Universität München und die Firmen der Luft- und Raumfahrttechnik sorgen für ein hohes Niveau und viel Nachfrage nach entsprechendem Wohnraum. 
", Öl , 1 ,, 100 MBit/s , 65 m² ,,, Etagenwohnung , 65 m² , 
,," 2 , 2 ",1988,"/ Wohnanlage Unterschleißheim
/ Valentinshof Eschenstraße 86

/ Wohnen über 2 Ebenen 3 und 4 OG
/ 3 OG Wohnen Schlafen Küche Bad Westbalkon
/ 4 OG Wohnraum 48 QM - oberste Etage

/ Wohnung von Eigentümern bis heute bewohnt
/ Eigennutzung ab sofort gewährleistet

/ gepflegte Gesamtanlage 
/ das Objekt ist umsäumt von Parkanlagen

/ Keller 
/ Tiefgaragenstellplatz
/ Fahrradabstellraum
/ Waschraum", liegt vor , 1 Tiefgaragen-Stellplatz ,, 100 MBit/s , 97 m² ,, Verbrauchsausweis , Etagenwohnung , 3 , 
,," 2 , 2 ",1979,"Diese schöne Galeriewohnung befindet sich in einem kleinen Wohnhaus mit moderner Architektur in zentraler Lage in Neubiberg. Durch das helle Treppenhaus erreichen Sie die Wohnung im 2.Obergeschoss. Sie betreten die Wohnung über eine geräumige Diele. Der hieran angrenzende Wohnbereich mit offener Einbauküche (im Kaufpreis enthalten) wirkt besonders durch die Raumhöhe und die offenen Sichtbalken aus Holz hell und gemütlich. Über eine moderne Treppe gelangen Sie in den großzügigen Galeriebereich, welcher aufgrund seiner Fensterflächen und der Deckenhöhe ein idealer Arbeitsplatz oder auch ein Gästezimmer sein kann. Von hier aus haben Sie einen schönen Blick auf Ihren Wohnbereich.
Auf der ersten Ebene befindet sich ebenfalls ein großzügiges Schlafzimmer mit Ankleideraum und ein Duschbad mit Waschmaschinenanschluß. Der sich am Wohnzimmer befindende Balkon ist zum Süden ausgerichtet.
Die Wohnung eignet sich ideal für eine Einzelperson sowie auch für ein Paar. Die Wohnung ist vermietet. 
Die gesamte, äußerst gepflegte Außenanlage des Wohnhauses ist sehr attraktiv und liebevoll gestaltet.", Gas , 1 ,, 50 MBit/s , 68 m² ,, liegt vor , Etagenwohnung , Nach Absprache , 
,," 2 , 2 ",,"Es handelt sich um eine 3,5 Zimmer – Wohnung im Erdgeschoss rechts.

Die Wohnung verfügt über 2 Bäder, 3 Balkone, Küche mit großem Essplatz, 2 Schlafzimmer, 1 Wohnzimmer sowie einen Abstellraum/Ankleide.

Zu dieser Wohnung gehören noch 2 Kellerabteile.

EG
Ca. 104 m² Wohnfläche
3,5 Zimmer

Baujahr Gebäude 1976, Außen Fassade wurde 2015 modernisiert
Heizungsart Fernwärme
Energieausweis liegt vor 
Energieausweistyp Verbrauchsausweis (EVA) 
Endenergiebedarf 106,1 kWh/(m²*a) 
Energieeffizienzklasse D


Eine Besichtigung des Objekts ist nach Absprache möglich.

Alle Angaben ohne Gewähr.",,,,, 104 m² ,,, Sonstige , 2 , 
,," 1 , 1 ",2020,, liegt vor , 1 Duplex-Stellplatz ,, 100 MBit/s ," 63,19 m² ",, Bedarfsausweis , Etagenwohnung , 2 ,
,," 4 , 4 ",,,, 2 ,,," 100,73 m² ",,, Dachgeschoss , 2020 ,
,," 2 , 2 ",,"Diese traumhafte Maisonettewohnung liegt in den beiden Obergeschossen des südöstlich ausgerichteten Mittelteils des Gebäudes und erfüllt höchste Ansprüche! 

Im Obergeschoss befindet sich ein großzügiges Wohnzimmer mit modernem Kochbereich, ein apartes Gäste-WC mit Waschmaschinen- und Trockneranschluss und ein kleiner Abstellraum. Eine geschmackvolle Innentreppe mit Holzstufen führt vom Flur aus ins schöne Dachgeschoss. Dort werden Sie die beiden lichtdurchfluteten Schlafräume mit den hohen Decken und dem reizvollen Giebel mehr als begeistern! Das elegant geflieste Bad ist ausgestattet mit hochwertigen Sanitärgegenständen (Waschbecken, Toilette, Dusche und Badewanne) und einem formschönen Handtuchtrockner. 
In allen Wohn- und Schlafräumen wird Parkettboden verlegt, in den übrigen Räumen moderne Bodenfliesen. 
Die beiden großen Dachflächenfenster erhalten Schallschutzverglasung. Für ein angenehmes Raumklima sorgt die zentrale Lüftungsanlage.  
In jeder Etage garantiert ein großer, südöstlich ausgerichteter Balkon entspannte Stunden im Freien.
Neben den beiden Abstellräumen innerhalb der Wohnung bietet Ihnen ein Kellerabteil zusätzlichen Staufläche.
",,,,," 100,81 m² ",,, Maisonette , 3 ,
,," 4 , 4 ",1990,"Die Wohnung befindet sich im 2. Obergeschoss in einem gepflegten Mehrparteienhaus in Ismaning. 

Die Wohnung besticht durch Ihre gute Raumaufteilung.

Die geflieste Küche hat eine praktische, große Durchreiche zum Wohnzimmer und einen geräumigen Essplatz.
Das Wohnzimmer ist mit Parkettboden ausgestattet. Von hier aus ist der Westbalkon begehbar.

Die drei Schlafzimmer sind ebenfalls nach Westen ausgerichtet.
Im großen Schlafzimmer steht Ihnen zudem noch ein Bereich für einen begehbaren Kleiderschrank zur Verfügung.

Das Badezimmer ist mit Wanne und Fenster ausgestattet. Ein Gäste-WC ist ebenfalls vorhanden.

Die Wohnung ist durch die großen Fenster sehr hell.

Zur Wohnung gehört ein Hobbyraum, sowie TG-Stellplatz (4-fach-Parker, unten rechts)", liegt vor , 1 ,, 100 MBit/s , 96 m² ,, Verbrauchsausweis , Etagenwohnung , sofort , 
,," 1 , 1 ",2000,"Die helle Dachgeschosswohnung besticht durch Ihre Raumhöhe. 
Über die Diele sind alle Räume erschlossen. Das Bad mit Fenster bietet ausreichend Platz für eine Waschmaschine. 
Das Wohnzimmer mit angrenzender Dachterrasse ist nach Süden ausgerichtet. 

Zur Wohnung gehört ein Kellerabteil sowie ein TG-Einzelstellplatz.
Die Wohnung ist aktuell gut vermietet.
Aktuelle jährliche Nettokaltmiete beträgt 9.588 €.", Verbrauchsausweis , 1 Tiefgaragen-Stellplatz ,, 50 MBit/s , 58 m² ,, 64 kWh/(m²*a) , Dachgeschoss , 2 , 
,," 2 , 2 ",,"** EUR 238.000,--** ERBPACHT-GELEGENHEIT** 
DER ""GÜNSTIGE KAUFPREIS"" WURDE AUFGRUND DER IN DEN NÄCHSTEN JAHREN ZU ZAHLENDEN SONDERUMLAGEN ERRECHNET!

ATTRAKTIVE MODERNISIERTE 4-ZIMMER- EIGENTUMSWOHNUNG mit ca. 107 m² und großem sonnigen nach SÜDWESTEN orientierten BALKON mit ca. 14 m² ....im 8.OG (Lift) ....in schöner ruhiger Wohnlage in UNTERSCHLEISSHEIM....in der Carl-von-Linde-Straße....
Zu dieser ETW ist ein Tiefgaragenstellplatz für EUR 12.000,-- hinzuzuerwerben!

WICHTIG !!!
DER ""GÜNSTIGE KAUFPREIS"" KOMMT AUFGRUND DER IN DEN NÄCHSTEN JAHREN ZU ZAHLENDEN SONDERUMLAGEN ZUSTANDE !
Zuzüglich zur Rücklagenzuführung sind in den Jahren bis vorraussichtlich einschließlich 2024 jährlich entsprechende Sonderumlagen, für die Sanierung des Gebäudes, zu bezahlen.  

Das Wohngeld für die ETW beträgt derzeit ca. EUR 531,-- p.m. incl. Erbpacht/HZ zzgl. Rücklagenzuführung  EUR 289,-- p.m.  zzgl. Wohngeld für die TG (ebenfalls incl. Rücklagezuführung) EUR 40,-- p.m. = ca. EUR 860,-- p.m.",,,,, 107 m² ,,, 8 , 4 , 
,," Herbst 2020 , Herbst 2020 ",,,, 2 ,,," 117,5 m² ",,, Erdgeschosswohnung , 31 m² ,
,," 3 , 3 ",1972,"Die Wohnung befindet sich im 3. Obergeschoss eines 1972 erbauten Mehrfamilienhauses. Über den Aufzug gelangen Sie bequem zu dieser praktisch genschnittenen, sonnigen 3-Zimmer-Wohnung. Die großzügige Diele bietet ausreichend Platz für eine Garderobe und Kommoden.
Nebenan befindet sich die großzügige und moderne Wohnküche mit großer Fensterfront, von hier aus haben Sie Zugang in das helle Wohnzimmer. Durch die überdachten Süd-West-Loggia erfreuen Sie sich dort den ganzen Tag an wunderbarem Sonnenschein. Außerdem können Sie abends perfekt den Sonnenuntergang genießen und schöne Sommernächte verbringen. Das Schlaf- sowie das Kinderzimmer sind zum ruhigen Innenhof ausgerichtet, beide Zimmer sind ausreichend groß, sodass Sie genügend Möbel unterbringen. Im hell gefliesten Wannenbad haben Sie die Möglichkeit eine Waschmaschine zu platzieren, das WC ist separat.

Diese Wohnung bietet ein komfortables, stilvolles Wohnen; überzeugen Sie sich von diesem Wohnungsangebot bei einem unverbindlichen Besichtigungstermin.

Der Kaufpreis setzt sich wie folgt zusammen: Kaufpreis für die Etagenwohnung 480.000 € + 15.000 € für den Tiefagaragenstellplatz = 495.000 € Gesamtkaufpreis.", Erdgas leicht , 1 ,, 100 MBit/s ," 79,84 m² ",, liegt vor , Etagenwohnung , nach Vereinbarung , 
,," 2 , 2 ",1972,"Die angebotene Wohnung befindet sich in einem Dreifamilienhaus. Dieses wurde 1972 in einer Wohnsiedlung der Gemeinde Pullach erbaut und ist über eine private Zufahrstraße mit dem PKW erreichbar. Die Immobilie befindet sich auf einem Flurstück der Gemarkung Pullach im Isartal des Amtsgerichtes München, mit einer Gesamtgrundstücksgröße von 1.048 m². Auf dem Grundstück befindet sich ein weiteres Gebäude (Doppelhaus). Die Aufteilung erfolgt nach dem Wohnungseigentumsgesetz. Insgesamt besteht die WEG somit aus 5 Einheiten. Beim Veräußerungsobjekt handelt es sich um das Sondereigentum Nr. 4.
Versorgt wird das Haus über eine Ölzentralheizung aus dem Jahr 1988. Alle drei Wohnungen sind vermietet.
Es ist ein Garagenanbau vorzufinden. Im Eingangsbereich wurde ein Raum für Mülltonnen und eine Abstellmöglichkeiten für Fahrräder geschaffen. 

Die helle 3-Zimmer-Balkonwohnung mit ca. 74,8 m² Wohnfläche ist seit 01.07.2004 an ein Ehepaar vermietet. 
Zur Einheit im 1. OG gehören zwei KFZ-Außenstellplätze. Es wird derzeit eine monatliche Mieteinnahme i.H.v. 665,--€ zzgl. Nebenkosten-Vorauszahlung 148,--€ erzielt (Gesamtmieteinnahme warm 813,00 €).", Verbrauchsausweis , 2 Außenstellplätze ,, 100 MBit/s ," 74,8 m² ",," 213,1 kWh/(m²*a) ", Etagenwohnung , 3 , 
,," 2,5 , 2,5 ",1972,"Die liebevoll renovierte 2,5-Zimmer-Wohnung befindet sich im 1.OG einer gepflegten Wohnanlage mit sanierter Tiefgarage.
Von der Diele erreicht man die Küche mit moderner, neuwertiger EBK und anthrazitfarbenen Steinfliesenboden sowie das Schlafzimmer/Kinderzimmer. Die bodentiefe Fensterfront im Wohnzimmer bietet viel Lichteinfall, von hier aus hat man Zugang zum großen, sonnigen SW-Balkon der zum relaxen einlädt. Das, an das Wohnzimmer angrenzende, Kinderzimmer/Büro/Gästezimmer ist mit einer Glasschiebetüre abgtrennt und bietet ebenfalls Zugang zum Balkon. Ein Highlight ist das komplett sanierte, schicke Bad mit luxuriöser Eckbadewanne und Dusche. Im Kellerbereich stehen den Bewohnern ein gemeinschaftlich genutzter Waschraum mit Münzwaschmaschine und Trockener sowie ein Fahrradraum zur Verfügung. Ein Duplexparker (in der komplett sanierten Tiefgarage) und ein Kellerraum gehören zur Wohnung.", liegt vor , 1 Duplex-Stellplatz ,, 100 MBit/s , 72 m² ,, Verbrauchsausweis , Etagenwohnung , sofort , 
,," 1 Garage , 1 Garage ",1991,"Die großzügige 4-Zi-Obergeschosswohnung präsentiert sich nach einer gerade abgeschlossenen umfassenden Renovierung hell und modernisiert. Sie befindet sich im 1.OG eines ebenfalls umfassend modernisierten Wohn- und Geschäftshauses mit insgesamt nur vier Wohneinheiten und zwei Ladengeschäften. Das Anwesen liegt in zentraler Lage Pullachs auf einem 1.364m² großen Grundstück mit herrlich großem Garten. Das Gebäude markiert den Anfang der Kagerbauerstrasse, einer von EFH und Villen dominierten Straße, die parallel zur S7- Strecke (verkehrt 3-mal pro Stunde in beide Richtungen) verläuft.

Highlights der Wohnung
- Sehr hell und freundlich
- Großes Wohnzimmer mit Südausrichtung und Anschluss für Schwedenofen
- Großer nach Süden ausgerichteter Balkon, auch von der Küche direkt zugänglich
- Schickes Bad, teilrenoviert mit neuen Armaturen auf Marmorapplikationen
- Gäste-WC
- Alle Zimmertüren mit Zargen erneuert
- Alle Steckdosen und Schalter erneuert
- Komplett frisch gestrichen
- Wohnungstüre neu, mit neuer Zentralschließanlage und neuer Sprechanlage
- Neue Design-Vinyl Bodenbeläge in der ganzen Wohnung
- Balkon mit neuer Holz-Beplankung

Die Wohnung profitiert des Weiteren von der umfassenden Renovierung des Gesamtkomplexes. So ist innen das komplett neu renovierte Treppenhaus, als auch der Einbau einer neuen sehr energieeffizienten Gas-Zentralheizungsanlage hervorzuheben. Außen wurden die Gebäude u.a. neu gestrichen, tlw. neu verputzt, die Holzverkleidungen neu aufgearbeitet und die Balkone mit neuen Holz-Beplankungen versehen. Zusätzlich zum großzügigen Balkon teilt sich die Wohnung mit nur einer anderen Partei das Sondernutzungsrecht an einem ca. 130m² großen, von hohen Hecken umgebenen Gartengrundstück (eventuelle Teilung auf beide Parteien prinzipiell möglich), dass sich ideal für Kinder zum Spielen eignet, oder aber einfach zum gemütlichen Abschalten oder Barbecue einlädt. Garage oder Stellplatz optional.Durch die umfassende Renovierung und Modernisierung des gesamten Anwesens als auch der einzelnen Wohnungen ist keinerlei Renovierungsrückstand vorhanden.Durch diese gerade abgeschlossenen Renovierung/Modernisierung werden derzeit auch noch eine großzügige 4-Zi-Maisonettewohnung, eine geräumige 4-Zi. DG-Wohnung, als auch ein Wohnhaus angeboten, allesamt mit großen Süd-Terrassen und/oder Balkonen und eigenem Gartenanteil ausgestattet.

Pullach gehört als Villenvorort im Münchner Süden zu den begehrtesten Wohnlagen im Landkreis München. Die Immobilie befindet sich in zentraler Lage, nur ca. 4 Gehminuten vom Ortszentrum. In nur wenigen Gehminuten erreicht man weiterhin den S-Bahnhof (in ca. 20min ohne Umsteigen zum Marienplatz) und Einkaufsmöglichkeiten für den täglichen Bedarf. Grund-, Mittel- und Volkshochschule, 2 Gymnasien sowie Kindergärten und Kinderhort in unmittelbarer Nähe bieten eine hervorragende Infrastruktur für Familien. Apotheken, Ärzte, und Fachärzte befinden sich im Ort. Großmärkte runden die überdurchschnittliche Infrastruktur ab. Auch der Freizeitwert ist durch die naheliegende Isar, ein Freizeitbad (Hallen- und Freibad), Tennisplätze, ausgedehnte Rad- und Wanderwege, den nahe liegenden Starnberger See, Biergärten (Waldwirtschaft) und weitere Möglichkeiten extrem hoch.




", Verbrauchsausweis ,,, 100 MBit/s , 104 m² ,," 78,5 kWh/(m²*a) ", 1 , 4 , 
,," 2,5 , 2,5 ",1985,"Die Gartenwohnung Baujahr 1985 ist in solider Ziegelbauweise erbaut und in einem sehr guten Zustand. Die Wohnung liegt sehr ruhig in einer Sackgasse in Lohhof Süd.
Lohhof Süd zählt zum gehobenen Wohnviertel von Unterschleißheim. Die S-Bahnstation S1 Lohhof erreicht man bequem mit dem Bus, ebenfalls die U-Bahnstation U6 Garching Fröttmaning. In Unterschleißheim finden sich eine Vielzahl an Geschäften und Ärzten.
Die Wohnung erstreckt sich über das Erdgeschoss und das Kellergeschoss und hat eine Netto-Wohnfläche von circa 69,14 m² (ca. 85m² Nfl.) und einen großen Terrassenanteil mit Garten (circa 20 m²)

", Gas , 1 ,, 100 MBit/s ," 69,14 m² ",, liegt vor , Erdgeschosswohnung , 85 m² , 
,," sofort , sofort ",1974,"Kauf gegen Gebot - Wohnhighlight mit ca. 11 m² großer Süd Loggia - S-Bahn Nähe

Umgeben von altem Baumbestand, befindet sich diese renovierte 2,5-Zimmer Wohnung im 2. Obergeschoss eines im Jahre 1974 erbauten und gepflegten Mehrfamilienhauses. Auf ca. 70 m² Wohnfläche überzeugt diese Wohnung mit einer hervorragenden Raumaufteilung und vielseitigen Gestaltungsmöglichkeiten.

Bereits beim Betreten der Wohnung gelangen Sie in die großzügige Diele mit Platz für die eigene Garderobe. Eine praktische Abstellkammer ist ebenfalls vorhanden. Das Bad ist mit einer Wanne, einem WC, einem Waschbecken und einem Handtuchwärmer ausgestattet. Im Anschluss der Diele finden Sie ein halbes, offenes Zimmer vor, welches als Arbeits- oder Esszimmer sehr gut nutzbar ist. Das ca. 16 m² große Schlafzimmer bietet Ihnen Zugang zur sonnigen Süd-Loggia. Die Küche ist mit einer neuen Einbauküche ausgestattet und kann gegen eine Ablöse erworben werden. Der offene Wohn- und Essbereich verfügt ebenfalls über einen direkten Zugang zur Süd-Loggia mit Blick ins Grüne. Das Wohnzimmer kann jederzeit wieder durch eine Trockenbauwand von der Küche getrennt werden. 

Ein separates Kellerabteil, ein Tiefgarageneinzelstellplatz sowie ein gemeinschaftlicher Fahrradraum als auch ein Wasch- und Trockenraum runden das Angebot ab. 

Kauf gegen Gebot - das Mindestgebot liegt bei 498.000,- € zzgl. 22.000,- € für den Tiefgarageneinzelstellplatz.", Fernwärme , 1 ,, 100 MBit/s , 70 m² ,, liegt vor , Etagenwohnung , 76 m² , 
,," 4 , 4 ",1991,"Die großzügige 4-Zi-DG-Wohnung präsentiert sich nach einer gerade abgeschlossenen umfassenden Renovierung und Teilsanierung hell und modernisiert. Sie befindet sich im DG eines ebenfalls umfassend modernisierten Wohn- und Geschäftshauses mit insgesamt nur vier Wohneinheiten und zwei Ladengeschäften. Das Anwesen liegt in zentraler Lage Pullachs auf einem 1.364m² großen Grundstück mit herrlich großem Garten. Das Gebäude markiert den Anfang der Kagerbauerstrasse, einer von EFH und Villen dominierten Straße, die parallel zur S7- Strecke (verkehrt 3-mal pro Stunde in beide Richtungen) verläuft.

Highlights der Wohnung
-	Großzügig DG-Wohnung, erstreckt sich über das gesamte DG zweier Gebäude
-	Böden und Wände im Altbaubereich wurden umfassend saniert
-	Sehr viele Staumöglichkeiten im Dachboden
-	Großes Wohnzimmer mit Südausrichtung und Anschluss für Schwedenofen
-	Dachterrasse, ca. 12m², nach Süden ausgerichtet
-	Schickes, helles Eltern-Badezimmer
-	Zusätzlich vollwertiges kleineres Badezimmer für Kinder oder Gäste
-	Gäste-WC
-	neue Design-Vinyl Bodenbeläge in der gesamten Wohnung
-	neue Türbeschläge und Wohnung frisch gestrichen
-	Wohnungstüre neu, mit neuer Zentralschließanlage und neuer Sprechanlage
-	Balkon mit neuer Holz-Beplankung 

Die Wohnung profitiert des Weiteren von der umfassenden Renovierung des Gesamtkomplexes. So ist innen das komplett neu renovierte Treppenhaus, als auch der Einbau einer neuen sehr energieeffizienten Gas-Zentralheizungsanlage hervorzuheben. Außen wurden die Gebäude u.a. neu gestrichen, tlw. neu verputzt, die Holzverkleidungen neu aufgearbeitet und die Balkone mit neuen Holz-Beplankungen versehen. 
Zusätzlich zum großzügigen Balkon teilt sich die Wohnung mit nur einer anderen Partei das Sondernutzungsrecht an einem ca. 130m² großen, von hohen Hecken umgebenen Gartengrundstück (eventuelle Teilung auf beide Parteien prinzipiell möglich), dass sich ideal für Kinder zum Spielen eignet, oder aber einfach zum gemütlichen Abschalten oder Barbecue einlädt. Garage oder Stellplatz optional.
Durch die umfassende Renovierung und Modernisierung des gesamten Anwesens als auch der einzelnen Wohnungen ist keinerlei Renovierungsrückstand vorhanden.
Durch diese gerade abgeschlossenen Renovierung/Modernisierung werden derzeit auch noch eine großzügige 4-Zi-Maisonettewohnung, eine geräumige 4-Zi.-Wohnung, als auch ein Wohnhaus angeboten, allesamt mit großen Süd-Terrassen und/oder Balkonen und eigenem Gartenanteil ausgestattet. 

Pullach gehört als Villenvorort im Münchner Süden zu den begehrtesten Wohnlagen im Landkreis München. Die Immobilie befindet sich in zentraler Lage, nur ca. 4 Gehminuten vom Ortszentrum. In nur wenigen Gehminuten erreicht man weiterhin den S-Bahnhof (in ca. 20min ohne Umsteigen zum Marienplatz) und Einkaufsmöglichkeiten für den täglichen Bedarf. Grund-, Mittel- und Volkshochschule, 2 Gymnasien sowie Kindergärten und Kinderhort in unmittelbarer Nähe bieten eine hervorragende Infrastruktur für Familien. Apotheken, Ärzte, und Fachärzte befinden sich im Ort. Großmärkte runden die überdurchschnittliche Infrastruktur ab. Auch der Freizeitwert ist durch die naheliegende Isar, ein Freizeitbad (Hallen- und Freibad), Tennisplätze, ausgedehnte Rad- und Wanderwege, den nahe liegenden Starnberger See, Biergärten (Waldwirtschaft) und weitere Möglichkeiten extrem hoch. 



", liegt vor ,,, 100 MBit/s , 117 m² ,, Verbrauchsausweis , Dachgeschoss , sofort , 
,," 4 , 4 ",1937,"Nach einer gerade abgeschlossenen Kernsanierung präsentiert sich diese großzügige Maisonette-Wohnung hell, freundlich und modern. Sie befindet sich im EG und 1.OG eines ebenfalls umfassend modernisierten Wohn- und Geschäftshauses mit insgesamt nur vier Wohneinheiten und zwei Ladengeschäften. Das Anwesen liegt in zentraler Lage Pullachs auf einem 1.364m² großen Grundstück mit herrlich großem Garten. Es markiert den Anfang der Kagerbauerstrasse, einer von EFH und Villen dominierten Straße, die parallel zur S7- Strecke (verkehrt 3-mal pro Stunde in beide Richtungen) verläuft.

Highlights der Wohnung

-	Helle und freundliche Wohnung mit großzügigem Grundriss über zwei Etagen
-	Zugänglich jeweils über eine Wohnungseingangstüre im EG als auch im OG
-	Großes Wohnzimmer mit Südausrichtung
-	Im EG als auch im OG jeweils eine große ca. 20-22m² große Terrasse mit Südausrichtung
-	Jeweils ein Bad pro Etage plus Gäste-WC im OG 
-	Offene Küche
-	Eigener Gartenanteil (Sondernutzungsrecht)
-	Umfassend kernsaniert 
o	Sanitär, Heizung, Elektrik neu
o	Böden, Wände, Türen neu, Wohnung komplett mit hochwertigem Design-Vinyl ausgelegt
o	Alle Fenster und Terrassen-Türen mit hoher Schall- und Wärmeisolierung neu, zusätzlich mit elektrischen Rollos 
o	Zwei neue hochwertige Bäder und Gäste-WC (Villeroy &amp; Boch, Grohe, handgefertigte Echtholz-Design-Duschwanne, u.s.w.)
o	Neue Wohnungstüren mit neuer Zentralschließanlage und neuer Sprechanlage

Die Wohnung profitiert des Weiteren von der umfassenden Renovierung des Gesamtkomplexes. So ist innen das komplett neu renovierte Treppenhaus, als auch der Einbau einer neuen sehr energieeffizienten Gas-Zentralheizungsanlage hervorzuheben. Außen wurden die Gebäude u.a. neu gestrichen, tlw. neu verputzt, die Holzverkleidungen neu aufgearbeitet und die Balkone mit neuen Holz-Beplankungen versehen. 
Zusätzlich zu den zwei großen Terrassen/Balkonen wurde der Wohnung noch ein schöner ca. 106m² großer eigener Garten (Südausrichtung) zugeteilt. Ebenfalls gehört eine Garage zur Wohnung.
Durch die umfassende Renovierung und Modernisierung des gesamten Anwesens als auch der einzelnen Wohnungen ist keinerlei Renovierungsrückstand vorhanden.
Durch diese gerade abgeschlossenen Renovierung/Modernisierung werden derzeit auch noch eine großzügige 4-Zi-Maisonettewohnung, eine ebenso große 4-Zi. DG-Wohnung, als auch ein Wohnhaus angeboten, allesamt mit großzügigen Süd-Terrassen und/oder Balkonen und eigenem Gartenanteil ausgestattet. 

Pullach gehört als Villenvorort im Münchner Süden zu den begehrtesten Wohnlagen im Landkreis München. Die Immobilie befindet sich in zentraler Lage, nur ca. 4 Gehminuten vom Ortszentrum. In nur wenigen Gehminuten erreicht man weiterhin den S-Bahnhof (in ca. 20min ohne Umsteigen zum Marienplatz) und Einkaufsmöglichkeiten für den täglichen Bedarf. Grund-, Mittel- und Volkshochschule, 2 Gymnasien sowie Kindergärten und Kinderhort in unmittelbarer Nähe bieten eine hervorragende Infrastruktur für Familien. Apotheken, Ärzte, und Fachärzte befinden sich im Ort. Großmärkte runden die überdurchschnittliche Infrastruktur ab. Auch der Freizeitwert ist durch die naheliegende Isar, ein Freizeitbad (Hallen- und Freibad), Tennisplätze, ausgedehnte Rad- und Wanderwege, den nahe liegenden Starnberger See, Biergärten (Waldwirtschaft) und weitere Möglichkeiten extrem hoch. 
 ", liegt vor ,,, 100 MBit/s , 120 m² ,, Verbrauchsausweis , Maisonette , sofort , 
