balcony,bathroom_number,bedroom_number,construction_year,describtion,energy_certificate,garage,heater,internetspeed_maximum,living_space,object_condition,power_consumption,property_type,room_number,total_price
,," 4 , 4 ",1980,"Diese sonnige, vielseitige 3-4 Zimmerwohnung, liegt in bester Lage von Gräfelfing, zentral und dennoch absolut ruhig, Südwestseite mit unverbaubarem Blick ins Grüne.

Die ehemalige Praxis kann durch den variablen Grundriss, Wasseranschluss in jedem Raum, nichttragende Zwischenwände, viele Fenster, problemlos zu einer außergewöhnlichen Wohnung umgestaltet werden.

Die Teilungserklärung erlaubt sowohl eine gewerbliche als auch eine Nutzung zu Wohnzwecken.
Die Praxis/Wohnung befindet sich auf der straßenabgewandten Seite,  Aufzug, im 1. OG, eines gemischten Wohnhauses (Wohnungen und Praxen) mit insgesamt 18 Einheiten aus dem Jahr 1980 im Herzen von Gräfelfing, unweit der S-Bahnhaltestelle.

Die Praxis wurde 1999 vollständig kernsaniert, inklusive aller elektrischen Leitungen, Wasserversorgung, Estrich, Wände.
2016 erfolgte die letzte Renovierung und Bau der Terrasse.
Es besteht kein Sanierungsrückstand

Für weitere Einzelheiten bieten wir Ihnen gerne ein persönliches Gespräch an.

Bei der Terrassenfläche handelt es sich um Gemeinschaftseigentum. Die anderen Eigentümer verzichten derzeit jedoch auf die Nutzung.",,,,, 93 m² ,, Bedarfsausweis , Etagenwohnung , ab sofort , 
,," 2 , 2 ",,"Es handelt sich um eine 3,5 Zimmer – Wohnung im Erdgeschoss rechts.

Die Wohnung verfügt über 2 Bäder, 3 Balkone, Küche mit großem Essplatz, 2 Schlafzimmer, 1 Wohnzimmer sowie einen Abstellraum/Ankleide.

Zu dieser Wohnung gehören noch 2 Kellerabteile.

EG
Ca. 104 m² Wohnfläche
3,5 Zimmer

Baujahr Gebäude 1976, Außen Fassade wurde 2015 modernisiert
Heizungsart Fernwärme
Energieausweis liegt vor 
Energieausweistyp Verbrauchsausweis (EVA) 
Endenergiebedarf 106,1 kWh/(m²*a) 
Energieeffizienzklasse D


Eine Besichtigung des Objekts ist nach Absprache möglich.

Alle Angaben ohne Gewähr.",,,,, 104 m² ,,, Sonstige , 2 , 
,," 1 , 1 ",,"Der helle Wohnbereich, mit einem über die ganze Zimmerbreite verlaufenden Balkon, lässt ein angenehmes Wohngefühl aufkommen. Das Apartment ist vermietet, mit einer mtl. Kaltmiete von derzeit  510 Euro. Die Mieterhöhung auf mtl. 585 Euro  Kaltmiete greift ab Januar 2020. 
Die optimale Kapitalanlage.
Ein Kellerabteil ist vorhanden.


",,,,," 29,22 m² ",,, Etagenwohnung , 1 , 
,," 1 , 1 ",1968,"Diese gemütliche 2-Zi. Wohnung in einer Wohnanlage mit 20 Einheiten ist seit gut 9Jahren gut vermietet. Die Mieter schätzen die zentrale Wohnlage und fühlen sich wohl in der Wohnung.  
Der hübsche Balkon zum Süden bietet einen weiten Blick und der kleine Balkon beim Schlafzimmer ist ideal zum Wäschetrocknen und Lüften. Durch das kleine Zimmer, wäre die  Wohnung auch für eine kleine Familie geeignet.
Das Haus wurde 2009 in einigen Bereichen saniert. Aktuelle KM 580,- +195,-NK, letzte Erhöhung zum 1.3.2018,",,,,," 57,1 m² ",, 185 kWh/(m²*a) ," 57,1 m² ", 2 , 
,," sofort , sofort ",1982,"Sie suchen eine Wohnung die Ihren persönlichen Ansprüchen an Lage und Ausstattung gerecht wird? Das gewissen „Etwas“ ,möglichst als „ All inclusive Paket“, sollte nicht fehlen? Sie sind fündig geworden!

Ihr neues Domizil befindet sich in perfekter Lage in einem ruhigen, sehr beliebten und exklusiven Wohngebiet nahe der Isar in einer ruhigen Seitenstraße des südlich von München gelegenen Stadtteils Grünwald. Die hervorragende infrastrukturelle Anbindung an den öffentlichen Nahverkehr, die schnelle Erreichbarkeit wichtiger Verkehrswege sowie die Nähe zu Geschäften, Schulen, Kindergärten, Restaurants und kulturellen Einrichtungen wird Ihnen gefallen.

Die im 1. Obergeschoss eines sehr gepflegten, in klassisch-modernem Baustil im Jahre 1981  errichteten Mehrparteienhauses gelegene Wohnung ist eine von insgesamt sechs Wohneinheiten. Die ca. 122 m² große Wohnung besticht durch ihre hervorragende Aufteilung und die qualitativ hochwertige und stilvolle Ausstattung. Der große Wohn-Essbereich ist lichtdurchflutet und bietet Ihnen Zugang zu einem der beiden schönen Sonnenbalkone. Drei weitere gut geschnittene Räume (übrigens ebenfalls alle mit Zugang zu einem der Balkone), die moderne Einbauküche und das hochwertig sanierte Bad mit bodengleicher, großer Dusche und Fußbodenheizung, sowie ein praktisches Gäste-WC, werden Sie begeistern! Hoch- und neuwertige Bodenbeläge, die moderne und stilvolle Ausstattung von Bad und Gäste-WC sowie die bereits vorhandene schöne Einbauküche ermöglichen Ihnen den Einzug ohne weitere Investitionen. Der große Kellerraum und ein eigener Hobbyraum, der durchaus als Büro geeignet ist, vervollständigen dieses attraktive Angebot. Ein Stellplatz kann evtl. separat angemietet oder käuflich erworben werden. 

Zu einem Kaufpreis von 935.000.-€ werden Sie neuer Eigentümer dieser gepflegten Wohnung. 

Haben wir Ihr Interesse geweckt? Gerne sind wir bei Fragen oder dem Wunsch zu besichtigen für Sie da!  Die Wohnung ist frei und kann sofort selbst genutzt oder vermietet werden.

Zögern Sie nicht, uns zu kontaktieren! 
Wir beantworten gerne Ihre Fragen und vereinbaren einen Besichtigungstermin für Sie.
Tel: +49 6257 944 74 34",,,,," 122,5 m² ",, Gas , Etagenwohnung , 25 m² , 
,," 1 , 1 ",,"Diese sehr gut geschnittene und helle 1 Zimmer Wohnung verfügt über einen westlich ausgerichteten französischen Balkon und eine getrennte Küche mit Fenster. Es gibt auch einen Garten mit Grillplatz für die Bewohner des Hauses.

Zur Wohnung gehört ein Einzelstellplatz in der Tiefgarage (20.000,00 Euro).

Auf Wunsch des Eigentümers erhalten Sie weitere Informationen, Bilder und den Grundriss nur auf Anfrage.
Wir bitten um Ihr Verständnis. Vielen Dank!

Bei Fragen ist Frau Christa Santifaller für Sie auch am Wochenende unter der Mobilnummer 0171 27 44 22 0 erreichbar.



",,,,," 31,15 m² ",,, Etagenwohnung , 1 , 
,," Herbst 2020 , Herbst 2020 ",,,,,,," 117,5 m² ",,, Erdgeschosswohnung , 31 m² ,
,," 4 , 4 ",1990,"Die Wohnung befindet sich im 2. Obergeschoss in einem gepflegten Mehrparteienhaus in Ismaning. 

Die Wohnung besticht durch Ihre gute Raumaufteilung.

Die geflieste Küche hat eine praktische, große Durchreiche zum Wohnzimmer und einen geräumigen Essplatz.
Das Wohnzimmer ist mit Parkettboden ausgestattet. Von hier aus ist der Westbalkon begehbar.

Die drei Schlafzimmer sind ebenfalls nach Westen ausgerichtet.
Im großen Schlafzimmer steht Ihnen zudem noch ein Bereich für einen begehbaren Kleiderschrank zur Verfügung.

Das Badezimmer ist mit Wanne und Fenster ausgestattet. Ein Gäste-WC ist ebenfalls vorhanden.

Die Wohnung ist durch die großen Fenster sehr hell.

Zur Wohnung gehört ein Hobbyraum, sowie TG-Stellplatz (4-fach-Parker, unten rechts)",,,,, 96 m² ,, Verbrauchsausweis , Etagenwohnung , sofort , 
,," 1 , 1 ",2000,"Die helle Dachgeschosswohnung besticht durch Ihre Raumhöhe. 
Über die Diele sind alle Räume erschlossen. Das Bad mit Fenster bietet ausreichend Platz für eine Waschmaschine. 
Das Wohnzimmer mit angrenzender Dachterrasse ist nach Süden ausgerichtet. 

Zur Wohnung gehört ein Kellerabteil sowie ein TG-Einzelstellplatz.
Die Wohnung ist aktuell gut vermietet.
Aktuelle jährliche Nettokaltmiete beträgt 9.588 €.",,,,, 58 m² ,, 64 kWh/(m²*a) , Dachgeschoss , 2 , 
,," 2 , 2 ",,"** EUR 238.000,--** ERBPACHT-GELEGENHEIT** 
DER ""GÜNSTIGE KAUFPREIS"" WURDE AUFGRUND DER IN DEN NÄCHSTEN JAHREN ZU ZAHLENDEN SONDERUMLAGEN ERRECHNET!

ATTRAKTIVE MODERNISIERTE 4-ZIMMER- EIGENTUMSWOHNUNG mit ca. 107 m² und großem sonnigen nach SÜDWESTEN orientierten BALKON mit ca. 14 m² ....im 8.OG (Lift) ....in schöner ruhiger Wohnlage in UNTERSCHLEISSHEIM....in der Carl-von-Linde-Straße....
Zu dieser ETW ist ein Tiefgaragenstellplatz für EUR 12.000,-- hinzuzuerwerben!

WICHTIG !!!
DER ""GÜNSTIGE KAUFPREIS"" KOMMT AUFGRUND DER IN DEN NÄCHSTEN JAHREN ZU ZAHLENDEN SONDERUMLAGEN ZUSTANDE !
Zuzüglich zur Rücklagenzuführung sind in den Jahren bis vorraussichtlich einschließlich 2024 jährlich entsprechende Sonderumlagen, für die Sanierung des Gebäudes, zu bezahlen.  

Das Wohngeld für die ETW beträgt derzeit ca. EUR 531,-- p.m. incl. Erbpacht/HZ zzgl. Rücklagenzuführung  EUR 289,-- p.m.  zzgl. Wohngeld für die TG (ebenfalls incl. Rücklagezuführung) EUR 40,-- p.m. = ca. EUR 860,-- p.m.",,,,, 107 m² ,,, 8 , 4 , 
,," 1 , 1 ",,"In den 60er-Jahren als Vorzeigeobjekt gebaut und vor kurzem umfangreich saniert, eröffnet ""Die NEUE Parksiedlung"" in Oberschleißheim beste Perspektiven für renditebewusste Anleger und Selbstnutzer - vom kleinen Appartement für Singles, Pendler und Studenten bis zum Penthouse für Paare und Familien.
 
Auszug aus den Sanierungsmaßnahmen im Gemeinschaftseigentum in 2015 / 2016:
• Energetische Sanierung und Gestaltung der Fassaden und des Bodenaufbaus der Balkone Dachflächen- und Attikasanierung
• Sanierung Treppenhäuser und Flure
• Überarbeitung und Neugestaltung der Hauseingangsbereiche
• Brandschutztechnische Maßnahmen Treppenräume / Flure der Wohngebäude
• Brandschutztechnische Maßnahmen Tiefgarage
• Überarbeitung Wärmeverteilnetz, Dämmung der Leitungen, Austausch der Ventile
• Erneuerung Fernwärmestationen
• Entlüftung innenliegender Bäder und WC’s
• Abwasserinstallationen, Warmwasserbereiter, Anlagenteile Wasserinstallation
• Rauchabzugsanlagen in Treppenhäusern erstellt
• Baugruppen Elektro erneuert: Zähleranlagen, Klingelanlagen, Verkabelung Allgemeinflächen, Wohnungszuleitungen
• Überarbeitung bzw. Erneuerung der Aufzugsbremsen, Antriebssteuerung und Kabinen
• Sanierung der Grundleitung für Schmutzwasser vom Hausanschluss bis zum Kanalanschluss in der Straße
• Verlegung der Schmutzwassersammelleitungen an die Unterseite der Decke UG",,,,," 51,3 m² ",,, Etagenwohnung , 2 , 
,," 1 , 1 ",1973,"Die gepflegte 3-Zimmer-Eigentumswohnung mit ca. 70 m² befindet sich im 2. Obergeschoss eines 1973 erbauten Wohnhauses mit Tiefgarage in ruhiger Lage von Unterschleißheim. 

Die Wohnung ist vom Grundriss optimal aufgeteilt. Der helle Flur bietet viel Platz für Garderobe und Schuhschrank sowie Zugang zu allen Räumen. 

Die Wohn- bzw. Schlafzimmer lassen sich durch ihren guten Schnitt ideal möblieren und sind dank Ausrichtung und neuwertiger Fenster hell und freundlich. Der gemütliche Süd/Ost-Balkon ist von zwei Räumen begehbar und überzeugt durch einen herrlichen Ausblick ins Grüne.
Die separate Küche ist mit einer Einbauzeile des Mieters ausgestattet und bietet ausreichend Platz für eine zusätzliche Essecke. Das weiß geflieste Tageslichtbad verfügt über eine Badewanne, WC und Waschbecken.

Wasch- und Trockenraum stehen den Bewohnern im Untergeschoss des Hauses zur Verfügung. 

Ein Tiefgaragen-Einzelstellplatz und ein Kellerabteil runden das Angebot ab. 

Das monatliche Wohngeld beträgt derzeit 230,- € (inkl. Instandhaltungs-rücklage).

Seit 2007 ist die Wohnung an ein Ehepaar vermietet. Die monatliche Kaltmiete liegt seit Mai 2017 bei 782,- € (inkl. TG) zzgl. 170,- € Betriebskostenvorauszahlung.

Aufgrund der Teilung nach WEG im Jahr 2012 besteht für die Mieter aktuell noch ein Kündigungsschutz für Eigenbedarf von ca. 3 Jahren.",,,,," 69,85 m² ",," 119,7 kWh/(m²*a) ", Etagenwohnung , 2 , 
,," 2 , 2 ",1972,"Die angebotene Wohnung befindet sich in einem Dreifamilienhaus. Dieses wurde 1972 in einer Wohnsiedlung der Gemeinde Pullach erbaut und ist über eine private Zufahrstraße mit dem PKW erreichbar. Die Immobilie befindet sich auf einem Flurstück der Gemarkung Pullach im Isartal des Amtsgerichtes München, mit einer Gesamtgrundstücksgröße von 1.048 m². Auf dem Grundstück befindet sich ein weiteres Gebäude (Doppelhaus). Die Aufteilung erfolgt nach dem Wohnungseigentumsgesetz. Insgesamt besteht die WEG somit aus 5 Einheiten. Beim Veräußerungsobjekt handelt es sich um das Sondereigentum Nr. 4.
Versorgt wird das Haus über eine Ölzentralheizung aus dem Jahr 1988. Alle drei Wohnungen sind vermietet.
Es ist ein Garagenanbau vorzufinden. Im Eingangsbereich wurde ein Raum für Mülltonnen und eine Abstellmöglichkeiten für Fahrräder geschaffen. 

Die helle 3-Zimmer-Balkonwohnung mit ca. 74,8 m² Wohnfläche ist seit 01.07.2004 an ein Ehepaar vermietet. 
Zur Einheit im 1. OG gehören zwei KFZ-Außenstellplätze. Es wird derzeit eine monatliche Mieteinnahme i.H.v. 665,--€ zzgl. Nebenkosten-Vorauszahlung 148,--€ erzielt (Gesamtmieteinnahme warm 813,00 €).",,,,," 74,8 m² ",," 213,1 kWh/(m²*a) ", Etagenwohnung , 3 , 
,," 1 , 1 ",1972,"Die 2 Zimmer Wohnung liegt im 7. Stock eines Hochhauses in Unterschleißheim. Die Anlage ist sehr gepflegt und gut instand gehalten. Besonders gepflegt und gerne genutzt ist das Dach des Hauses. Dort können die Mitglieder der Hausgemeinschaft den Pool, eine Sauna und die geräumige Dachterrasse nutzen und einen Panoramablick über München und bis in die Alpen genießen. Die Wohnung selbst ist in den späten 70gern stehen geblieben, eine Renovierung der Wohnung wäre angebracht. Die Wohnung teilt sich auf in das Wohnzimmer, die Küche, ein Schlafzimmer und das Badezimmer. Von allen Wohnräumen ist der geräumige Südostbalkon begehbar. Zur Wohnung gehören noch ein Kellerabteil sowie ein abschließbarer Einzelstellplatz in der Tiefgarage.",,,,," 63,67 m² ",, liegt vor , 7 von 13 , 2 , 
,," 2 , 2 ",1988,"/ Wohnanlage Unterschleißheim
/ Valentinshof Eschenstraße 86

/ Wohnen über 2 Ebenen 3 und 4 OG
/ 3 OG Wohnen Schlafen Küche Bad Westbalkon
/ 4 OG Wohnraum 48 QM - oberste Etage

/ Wohnung von Eigentümern bis heute bewohnt
/ Eigennutzung ab sofort gewährleistet

/ gepflegte Gesamtanlage 
/ das Objekt ist umsäumt von Parkanlagen

/ Keller 
/ Tiefgaragenstellplatz
/ Fahrradabstellraum
/ Waschraum",,,,, 97 m² ,, Verbrauchsausweis , Etagenwohnung , 3 , 
,," 3 , 3 ",1966,"Sehr geehrte Immobilieninteressentin,
sehr geehrter Immobilieninteressent,

die Wohnung, von der wir hier sprechen, liegt mitten in Unterhaching, im Ortsteil Fasanenpark, in der Fasanenstaße.
Ob renditestarke Kapitalanlage, Vorsorge fürs Alter oder Logieren für den ganz eigenen Bedarf, hier finden Sie echte Wohlfühlräume mit viel Charme und Gemütlichkeit. Diese attraktive Wohnung mit einer Wohnfläche von ca. 71,35 m², besticht mit ihrer gelungenen Wohnkomposition. Überaus sympathisch und einladend, so empfängt Sie Ihre neue und gut konzipierte Immobilie, Baujahr 1966, schon beim ersten Anblick. Sie liegt im Hochparterre eines sechsstöckigen Hauses (EG +6) mit nur ca. 21 Wohneinheiten. Die gelungene Grundrissgestaltung bietet echte Voraussetzungen für Ihr Wohngefühl. Der wohnfreundliche Grundriss bietet eine Diele, ein Tageslichtbad, eine Küche, ein Schlafzimmer, ein Wohnzimmer, ein Kinderzimmer und eine praktische Abstellkammer.  Vom Wohnzimmer aus erreichen Sie die südlich ausgerichtete Loggia, die die Wohnqualität weiterhin bereichert. Hier ist die Sonne zu Hause, sie gastiert von morgens bis in die frühen Abendstunden. Hier kann man seine Freizeit genießen sowie den Abstand vom Alltag und einen gemütlichen Feierabend erleben.
Ein praktisches Kellerabteil gehört zu der Wohnung. Es besteht ein Mitbenutzungsrecht hinsichtlich der gemeinschaftlichen Anlagen, wie z. B. Trockenraum und Fahrradabstellraum. Ein eine abschließbare Box in der Tiefgarage steht zur Verfügung.
Die Wohnungseigentümergemeinschaft umfasst 175 Wohneinheiten und 51 Garageneinheiten nebst zwei weiteren Sondereigentumseinheiten (Heizanlage und Wirtschaftshof).
Die Wohnung steht ab sofort zum Bezug frei.
Das monatliche Hausgeld für die Wohnung beträgt derzeit monatlich € 274,00 inkl. der Vorauszahlung für Heizung und Warmwasser. Hier fallen auf den Anteil der Wohnung € 250,00 und auf den Anteil des Tiefgaragenstellplatzes € 24,00 monatlich.",,,,," 71,35 m² ",, Verbrauchsausweis , Hochparterre , 01.11.2019 , 
,," 1 , 1 ",1965,"„Wohnen mit Lebensqualität“
Gemeinschaft,  Freizeitgestaltung, Erholungsflächen, Natur, gute Speisen!

Die Wohnung befindet sich im 6. Stock in Südausrichtung mit einem neu sanierten breiten Balkon und herrlichem Bergpanoramablick.
Eine Liftanlage ist im Haus vorhanden, die 2012 erneuert wurde.

Seit November 2011 ist die Wohnung an einen jungen Mann mit jetzt 36 Jahren vermietet, der gerne dort wohnen bleiben möchte. Die Arbeitsstelle ist mit dem Fahrrad in 10 Minuten erreichbar und er schätzt die Abende am Pool, die Pizzeria, die Freiheit und den Naturbezug dieser Wohnanlage. „Eine selten schöne Gegend“ meint er. 

Monatliche Nettokaltmiete 650,-- €
Die Nettokaltmiete wurde im März 2019 um ca. 30,-- € erhöht, monatliche Nebenkostenvorauszahlung 100,-- €

Vorwiegend bewohnen Eigentümer diese Wohnanlage, mehr Eigentümer als Mieter. Derzeit findet ein Generationswechsel statt, inzwischen gibt es auch viele junge Leute im Haus.

1965 wurde die Wohnanlage erbaut, großzügig mit breiten Fluren und großem Treppenhaus, belichtet mit künstlerisch gestalteten Glasfassaden.
Die Architektur der 60er Jahre wird inzwischen mehr wertgeschätzt, die Qualität dieser Bauzeit wieder entdeckt.

Der Rücklagenstand in dem Haus wird aufgebaut, ca. 30.000,-- € sind derzeit vorhanden. Sonderumlagen hat es in der Vergangenheit gegeben.
Es wurden aus den Sonderumlagen und den Rücklagen die Balkone und die Fassade saniert. Der Lift erneuert, Schwimmbad saniert, Betonschäden behoben und Malerarbeiten durchgeführt.

Lt. Wirtschaftsplan 2019 beträgt die Jahreswohnlast 1953,23 €.
Die umlagefähigen Nebenkosten 1094,43 €, nicht umlagefähige Nebenkosten 450,20 €.
Die Zuführung zu den Rücklagen 420,-- €, plus Einnahmen Parkplatz und Einnahmen Lokal.
Eine Sonderumlage in Höhe von 4.450,-- € war 2018 für die Instandhaltung notwendig.",,,,, 36 m² ,, Öl , Etagenwohnung ," 1,5 ", 
,," 2 , 2 ",1994,"Diese im Alleinauftrag angebotene 2-Zimmer-Erdgeschosswohnung mit ca. 75 m² Wohn,- und Nutzfläche befindet sich in einem gepflegten Reihenmittelhaus in ruhiger und familienfreundlicher Wohnlage von Unterhaching.

Durch die Wohnungseingangstür kommen Sie über den Windfang linker Hand in das neu renovierte Tageslichtbad mit Badewanne, WC und Waschbecken. Rechter Hand gelangen Sie in die Küche, welche über alle wünschenswerte elektrischen Geräte verfügt.
Geradeaus über den Flur erreichen Sie den großzügigen Wohn- und Essbereich mit Zugang auf den nach Süden ausgerichteten ca. 36 m²großen Garten mit Terrasse.

Das Untergeschoss erreichen Sie über eine Treppe im Wohnbereich, welches über ein ca. 27 m² großen bewohnbarem Hobbyraum, der als Schlafzimmer mit begehbaren Kleiderschrank genutzt wird verfügt. 

Zusätzlich verfügt das Untergeschoss über einen separatem Kellerabteil mit Waschmaschinenanschluss.

Zur Wohnung gehört ein Duplexstellplatz in einer abschließbaren Garage.",,,,," 48,25 m² ",, Verbrauchsausweis , Erdgeschosswohnung , nach Vereinabrung , 
,," 01.12.2019 , 01.12.2019 ",1966,Diese gut geschnittene 3-Zimmerwohnung befindet sich in einem der begehrtesten Vororte Münchens.,,,,, 73 m² ,, Wärmelieferung , Hochparterre , 10 m² , 
,," 1 Tiefgaragen-Stellplatz , 1 Tiefgaragen-Stellplatz ",1988,"Als 100%ige Tochtergesellschaft der Münchner Bank eG bieten wir Ihnen im Alleinauftrag dieses vermietete Apartment an. Es befindet sich im 5. Obergeschoss  eines Mehrfamilienhauses aus dem Jahr 1988, ein Lift bringt Sie bis in das 4. Obergeschoss.

Das Apartment besteht aus einem Wohn-/Schlafbereich, einer abgetrennten Küche und einem Tageslichtbad mit Badewanne. 

Die kleine Küche mit Fenster ist mit einer praktischen Einbauküche ausgestattet.
 
Waschmaschine und Trockner stehen im Keller bereit und können gegen Münzeinwurf genutzt werden. Ein Waschmaschinenanschluss ist auch in der Wohnung vorhanden.

Im Angebot enthalten sind ein Kellerabteil und ein Tiefgaragenstellplatz.

Die Wohnung ist gemäß Mietvertrag seit dem 01.01.2019 unbefristet vermietet. Der monatliche Nettomieterlös (inkl. Stellplatz) beträgt EUR 500,- zzgl. NK-Vorauszahlung in Höhe von EUR 115,-.

Ein interessantes Wohnungsangebot! Verpassen Sie nicht die Gelegenheit und vereinbaren Sie am besten sofort einen persönlichen Besichtigungstermin. 

Wir freuen uns auf Sie! ",,,,," 24,62 m² ",,, Etagenwohnung , 1 , 
,," 1 , 1 ",2012,"Unsere neuwertige Gartenmaisonettwohnung befindet sich in einer kleinen privaten Wohnanlage und verläuft über das Erdgeschoss sowie das tageslichthelle Souterrain. Zur Eigentumswohnung gehört ein ca. 80 qm großes Grundstück im Sondernutzungsrecht! Über eine eigene Zuwegung und einen separaten Eingang gelangen Sie direkt in die Wohnung. Im Erdgeschoss befindet sich eine offene Wohnküche, in der Sie eine geradlinige oder L-förmige Küchenzeile anschließen können. Auf der gleichen Wohnebene gibt es die Möglichkeit, ein WC einzurichten. Über eine massive Treppe gelangen Sie in das tageslichthelle Souterrain. Hier befinden sich zwei weitere Räume, die zum Wohnen und Schlafen geeignet sind sowie ein Duschbad mit WC und Anschlussmöglichkeiten für Waschgeräte. Über bodentiefe Fenster können Sie von der Wohnung aus vor den abgeböschten Bereich treten, der bereits für eine Terrasse vorbereitet ist. Ebenso haben Sie die Möglichkeit, neben dem Hauseingang im Erdgschoss eine weitere Terrasse zu errichten. ",,,,, 56 m² ,,, Maisonette , 3 , 
,," 2 , 2 ",,"Die von uns exklusiv zum Verkauf angebotene 2-Zimmerwohnung bietet gehobenen Wohnkomfort und befindet sich ruhig gelegen in Unterbiberg, einem Ortsteil von Neubiberg, nahe der Universität der Bundeswehr. Die Wohnung befindet sich im Dachgeschoss eines dreistöckigen (E+2+DG) Mehrfamilienhaus mit insgesamt 12 Wohneinheiten. Die Wohnungseigentümergemeinschaft besteht insgesamt aus 76 Wohnungen und 99 Stellplätzen in einer Tiefgarage. 
Schon beim Betreten der neuwertigen Immobilie empfängt Sie diese mit ihrer reizvollen Atmosphäre. Die großzügige Diele führt Sie zu Ihrer Rechten gleich in das geräumige Bad mit Badewanne, WC, Doppelwaschbecken und Anschluss für eine Waschmaschine. Dank eines großen Fensters ist es mit viel Licht erfüllt und die deckenhohen Fliesen sind im zeitlos ansprechenden Design gestaltet. 
Auf der linken Seite befindet sich das ca. 15 m² große Schlafzimmer mit viel Platz für einen großen Kleiderschrank. Es ist nach Süden ausgerichtet, hat über die bodentiefen Fenster viel Licht und einen Zugang zur südlichen ca. 20 m² großen Dachterrasse. Übrigens haben alle südlichen Fenster Rollläden. 

Sicher eines der Highlights dieser aparten Immobilie ist der geräumige, hochwertige Wohn- & Essbereich. Hier leben Sie auf knapp 27 m² mit 3,5 Meter hohen Decken und Zugang zur südlichen, über 20 m² großen, Dachterrasse. Die Küche bietet mit 7,5 m²  ausreichend Platz zum kochen, ist nach Norden ausgerichtet und bietet Zugang zur nördlichen, gut 18 m²  großen, Dachterrasse. Die vorhandene Einbauküche ist funktional und soll in der Wohnung verbleiben. 

Die Dachterrassen sind zu einem Drittel in die Wohnfläche von gesamt 75,9 m²  eingerechnet. Sie haben also 63 m² reine Innenfläche und zusätzlich knapp 39 m² Terrassenfläche, die mit 12,9 m² der Wohnfläche zugerechnet wurde. 
Zur Immobilie gehören neben einem großen Kellerabteil auch ein Tiefgaragen-Einzelstellplatz (kein Duplex) zu 20.000, €. 

Lassen Sie sich von der Immobilie und Ihrem Charme bei einem persönlichen Kennenlern-Termin überzeugen!",,,,," 75,9 m² ",,, Penthouse , sofort , 
,," 2 , 2 ",,"Die helle und gemütliche 2-Zimmer-Dachgeschosswohnung liegt im 2. und zugleich obersten Stockwerk eines gepflegten Wohn- und Geschäftshauses. 

Beim Betreten der Wohnung werden Sie von einem freundlichen und hellen Eingangsbereich empfangen, der  sowohl Platz für die Garderobe als auch ausreichend Raum für einen Arbeitsplatz bietet.

Die Dachschrägen sorgen in der Wohnung für ein gemütliches Ambiente. Gleichzeitig bietet die Wohnung ausreichend Stellfläche für Schränke und Regale. 

Den großen, überdachten OST-Balkon können Sie sowohl über das Wohn- als auch über das Schlafzimmer betreten.

In die Küche mit einem Oberlicht gelangen Sie über das geräumige Wohnzimmer. Die Einbauküche ist im Kaufpreis enthalten.

Das hell geflieste Duschbad (innenliegend) aus dem Baujahr ist mit einem Waschmaschinenanschluss ausgestattet. 

In den Dachschrägen finden Sie praktische Abstellbereiche mit viel Stauraum.

Die Wohnung ist seit 2011 vermietet, die  monatliche Kaltmiete beträgt aktuell € 845,00 (inkl. Stellplatz). 

Zur Wohnung gehört ein Kellerabteil. Ein Tiefgaragenstellplatz kann zum Preis von € 20.000 erworben werden.

In der Wohnanlage stehen Fahrradabstellplätze sowie Wasch- und Trockenräume zu gemeinschaftlichen Nutzung zur Verfügung.",,,,, 63 m² ,,, Dachgeschoss , vermietet , 
,," 2 , 2 ",,Die zum Kauf angebotene Wohnung befindet sich im sechsten Stockwerk eines insgesamt acht geschossigen Mehrfamilienhauses. Das Gebäude wurde 1972 erbaut und ist in einem gut gepflegten Zustand. Die Fassade des Gesamtgebäudes wurde erst 2019 erneuert. Alle dafür angefallenen Kosten sind bereits beglichen. Zur Wohnung gehören ein Kellerraum sowie ein Tiefgaragenstellplatz. Dieser ist unabhängig von der Wohnung für 17.000 € zu erwerben. Außerdem gibt es einen Aufzug.,,,,, 62 m² ,,, Etagenwohnung , SOFORT , 
,," 2 , 2 ",,"Die angebotene Wohnung liegt im 1. Obergeschoss eines gepflegten Wohn- und Geschäftshauses im Ortszentrum von Pullach. Über die geräumige und einladende Eingangsdiele werden das Gäste-WC, das Schlafzimmer, eine Abstellkammer und der Wohn-/Essbereich erschlossen. Dieser ist mit ca. 30 qm sehr geräumig und bietet den Zutritt zur Süd- /  Westterrasse und einen schönen Blick ins Grüne. Hier angrenzend befindet sich die Küche mit weißer, Einbauküche und elektrischen Geräten. Das weiße Tageslichtbad mit Badewanne ist direkt vom Schlafzimmer aus zugänglich. Weiterhin gehören zu der Wohnung ein Kellerabteil, ein Duplex-Stellplatz und ein eigener Südgarten. Eine Waschküche sowie ein Fahrradabstellraum stehen den Bewohnern des Hauses zur Verfügung.",,,,, 75 m² ,,, Terrassenwohnung , 5 m² , 
